Epoch 1, Training Loss: 1.8532383441925049, Validation Loss: 1.8759, Validation Accuracy: 0.3241
Epoch 2, Training Loss: 1.6658506393432617, Validation Loss: 1.7401, Validation Accuracy: 0.3572
Epoch 3, Training Loss: 1.6654101610183716, Validation Loss: 1.6222, Validation Accuracy: 0.4005
Epoch 4, Training Loss: 1.686769962310791, Validation Loss: 1.6032, Validation Accuracy: 0.4207
Epoch 5, Training Loss: 1.6613163948059082, Validation Loss: 1.5512, Validation Accuracy: 0.4380
Epoch 6, Training Loss: 1.6969362497329712, Validation Loss: 1.4790, Validation Accuracy: 0.4649
Epoch 7, Training Loss: 1.5487371683120728, Validation Loss: 1.4123, Validation Accuracy: 0.4863
Epoch 8, Training Loss: 1.412752628326416, Validation Loss: 1.4006, Validation Accuracy: 0.4975
Epoch 9, Training Loss: 1.4240314960479736, Validation Loss: 1.3788, Validation Accuracy: 0.5055
Epoch 10, Training Loss: 1.306442141532898, Validation Loss: 1.3156, Validation Accuracy: 0.5312
Epoch 11, Training Loss: 1.1852728128433228, Validation Loss: 1.2992, Validation Accuracy: 0.5452
Epoch 12, Training Loss: 0.976132333278656, Validation Loss: 1.2648, Validation Accuracy: 0.5657
Epoch 13, Training Loss: 0.9894320368766785, Validation Loss: 1.2308, Validation Accuracy: 0.5785
Epoch 14, Training Loss: 0.893806517124176, Validation Loss: 1.1936, Validation Accuracy: 0.5983
Epoch 15, Training Loss: 0.8902600407600403, Validation Loss: 1.1971, Validation Accuracy: 0.6027
Epoch 16, Training Loss: 0.7415096759796143, Validation Loss: 1.1597, Validation Accuracy: 0.6121
Epoch 17, Training Loss: 0.522888720035553, Validation Loss: 1.1299, Validation Accuracy: 0.6274
Epoch 18, Training Loss: 0.700579822063446, Validation Loss: 1.1372, Validation Accuracy: 0.6305
Epoch 19, Training Loss: 0.45000138878822327, Validation Loss: 1.1886, Validation Accuracy: 0.6281
Epoch 20, Training Loss: 0.49749520421028137, Validation Loss: 1.1481, Validation Accuracy: 0.6331
Epoch 21, Training Loss: 0.49815794825553894, Validation Loss: 1.2584, Validation Accuracy: 0.6267
Epoch 22, Training Loss: 0.4944900572299957, Validation Loss: 1.2500, Validation Accuracy: 0.6322
Epoch 23, Training Loss: 0.23111961781978607, Validation Loss: 1.2921, Validation Accuracy: 0.6308
Epoch 24, Training Loss: 0.3223683834075928, Validation Loss: 1.2094, Validation Accuracy: 0.6444
Epoch 25, Training Loss: 0.2797083556652069, Validation Loss: 1.2303, Validation Accuracy: 0.6512
Epoch 26, Training Loss: 0.21925391256809235, Validation Loss: 1.2777, Validation Accuracy: 0.6431
Epoch 27, Training Loss: 0.20850631594657898, Validation Loss: 1.2537, Validation Accuracy: 0.6600
Epoch 28, Training Loss: 0.21356326341629028, Validation Loss: 1.2301, Validation Accuracy: 0.6608
Epoch 29, Training Loss: 0.29275503754615784, Validation Loss: 1.2562, Validation Accuracy: 0.6700
Epoch 30, Training Loss: 0.17121638357639313, Validation Loss: 1.2173, Validation Accuracy: 0.6745
Epoch 31, Training Loss: 0.32661810517311096, Validation Loss: 1.1671, Validation Accuracy: 0.6755
Epoch 32, Training Loss: 0.38738352060317993, Validation Loss: 1.2542, Validation Accuracy: 0.6727
Epoch 33, Training Loss: 0.19935762882232666, Validation Loss: 1.1850, Validation Accuracy: 0.6860
Epoch 34, Training Loss: 0.17049488425254822, Validation Loss: 1.2087, Validation Accuracy: 0.6637
Epoch 35, Training Loss: 0.16191616654396057, Validation Loss: 1.2822, Validation Accuracy: 0.6769
Epoch 36, Training Loss: 0.21726053953170776, Validation Loss: 1.2763, Validation Accuracy: 0.6859
Epoch 37, Training Loss: 0.47237536311149597, Validation Loss: 1.2871, Validation Accuracy: 0.6848
Epoch 38, Training Loss: 0.2283826768398285, Validation Loss: 1.2884, Validation Accuracy: 0.6832
Epoch 39, Training Loss: 0.1334448903799057, Validation Loss: 1.2663, Validation Accuracy: 0.6866
Epoch 40, Training Loss: 0.0793045312166214, Validation Loss: 1.2484, Validation Accuracy: 0.6957
Epoch 41, Training Loss: 0.09383494406938553, Validation Loss: 1.2585, Validation Accuracy: 0.6929
Epoch 42, Training Loss: 0.3869956433773041, Validation Loss: 1.3322, Validation Accuracy: 0.6918
Epoch 43, Training Loss: 0.5011529922485352, Validation Loss: 1.3780, Validation Accuracy: 0.6946
Epoch 44, Training Loss: 0.1348067671060562, Validation Loss: 1.3926, Validation Accuracy: 0.6953
Epoch 45, Training Loss: 0.10111697763204575, Validation Loss: 1.2782, Validation Accuracy: 0.6998
Epoch 46, Training Loss: 0.1559491604566574, Validation Loss: 1.3144, Validation Accuracy: 0.6909
Epoch 47, Training Loss: 0.40512049198150635, Validation Loss: 1.2505, Validation Accuracy: 0.7027
Epoch 48, Training Loss: 0.2251700460910797, Validation Loss: 1.4029, Validation Accuracy: 0.6968
Epoch 49, Training Loss: 0.5427022576332092, Validation Loss: 1.4435, Validation Accuracy: 0.6996
Epoch 50, Training Loss: 0.31739890575408936, Validation Loss: 1.3298, Validation Accuracy: 0.7008
Epoch 51, Training Loss: 0.2566136419773102, Validation Loss: 1.3798, Validation Accuracy: 0.7058
Epoch 52, Training Loss: 0.07151535898447037, Validation Loss: 1.3586, Validation Accuracy: 0.6995
Epoch 53, Training Loss: 0.09707628935575485, Validation Loss: 1.4050, Validation Accuracy: 0.7015
Epoch 54, Training Loss: 0.11660710722208023, Validation Loss: 1.3121, Validation Accuracy: 0.7032
Epoch 55, Training Loss: 0.17014726996421814, Validation Loss: 1.3166, Validation Accuracy: 0.7020
Epoch 56, Training Loss: 0.38020697236061096, Validation Loss: 1.3224, Validation Accuracy: 0.7101
Epoch 57, Training Loss: 0.12504352629184723, Validation Loss: 1.5706, Validation Accuracy: 0.7010
Epoch 58, Training Loss: 0.12362885475158691, Validation Loss: 1.4956, Validation Accuracy: 0.7100
Epoch 59, Training Loss: 0.1033637672662735, Validation Loss: 1.3695, Validation Accuracy: 0.7073
Epoch 60, Training Loss: 0.135012686252594, Validation Loss: 1.3274, Validation Accuracy: 0.7154
Epoch 61, Training Loss: 0.09820431470870972, Validation Loss: 1.3669, Validation Accuracy: 0.6992
Epoch 62, Training Loss: 0.10397119075059891, Validation Loss: 1.3182, Validation Accuracy: 0.7042
Epoch 63, Training Loss: 0.11426278948783875, Validation Loss: 1.3437, Validation Accuracy: 0.7081
Epoch 64, Training Loss: 0.158238023519516, Validation Loss: 1.4047, Validation Accuracy: 0.7044
Epoch 65, Training Loss: 0.1991906762123108, Validation Loss: 1.2685, Validation Accuracy: 0.7155
Epoch 66, Training Loss: 0.11490671336650848, Validation Loss: 1.4010, Validation Accuracy: 0.7061
Epoch 67, Training Loss: 0.10583289712667465, Validation Loss: 1.4828, Validation Accuracy: 0.7085: Stopping training after 50 epochs without improvement in validation loss
