Epoch 1, Training Loss: 1.368901252746582, Validation Loss: 1.6337, Validation Accuracy: 0.4250, Highest Validation Accuracy
Epoch 2, Training Loss: 1.1298295259475708, Validation Loss: 1.4906, Validation Accuracy: 0.4763, Highest Validation Accuracy
Epoch 3, Training Loss: 0.990783154964447, Validation Loss: 1.4214, Validation Accuracy: 0.5094, Highest Validation Accuracy 
Epoch 4, Training Loss: 0.8834657669067383, Validation Loss: 1.3944, Validation Accuracy: 0.5343, Highest Validation Accuracy 
Epoch 5, Training Loss: 0.9106385707855225, Validation Loss: 1.4357, Validation Accuracy: 0.5184, Highest Validation Accuracy 
Epoch 6, Training Loss: 0.8688915967941284, Validation Loss: 1.4878, Validation Accuracy: 0.5188, Highest Validation Accuracy 
Epoch 7, Training Loss: 0.7587153911590576, Validation Loss: 1.4813, Validation Accuracy: 0.5165, Highest Validation Accuracy 
Epoch 8, Training Loss: 0.7355173826217651, Validation Loss: 1.4557, Validation Accuracy: 0.5482, Highest Validation Accuracy 
Epoch 9, Training Loss: 0.6872212290763855, Validation Loss: 1.5253, Validation Accuracy: 0.5378, Highest Validation Accuracy 
Epoch 10, Training Loss: 0.5969915390014648, Validation Loss: 1.5967, Validation Accuracy: 0.5174, Highest Validation Accuracy 
Epoch 11, Training Loss: 0.7069476842880249, Validation Loss: 1.6032, Validation Accuracy: 0.5444, Highest Validation Accuracy 
Epoch 12, Training Loss: 0.7093624472618103, Validation Loss: 1.6221, Validation Accuracy: 0.5534, Highest Validation Accuracy 
Epoch 13, Training Loss: 0.4416828453540802, Validation Loss: 1.6417, Validation Accuracy: 0.5481, Highest Validation Accuracy 
Epoch 14, Training Loss: 0.5427106618881226, Validation Loss: 1.6656, Validation Accuracy: 0.5581, Highest Validation Accuracy 
Epoch 15, Training Loss: 0.4283507168292999, Validation Loss: 1.6649, Validation Accuracy: 0.5656, Highest Validation Accuracy 
Epoch 16, Training Loss: 0.4735686182975769, Validation Loss: 1.6374, Validation Accuracy: 0.5605, Highest Validation Accuracy 
