Epoch 1, Training Loss: 2.2170684337615967, Validation Loss: 2.2204, Validation Accuracy: 0.2413
Epoch 2, Training Loss: 2.263956069946289, Validation Loss: 2.1948, Validation Accuracy: 0.3037
Epoch 3, Training Loss: 2.103158950805664, Validation Loss: 2.0008, Validation Accuracy: 0.3187
Epoch 4, Training Loss: 2.01621150970459, Validation Loss: 2.0191, Validation Accuracy: 0.3112
Epoch 5, Training Loss: 2.1595139503479004, Validation Loss: 2.0591, Validation Accuracy: 0.2921
Epoch 6, Training Loss: 1.865736484527588, Validation Loss: 1.8794, Validation Accuracy: 0.3606
Epoch 7, Training Loss: 1.8554537296295166, Validation Loss: 1.8105, Validation Accuracy: 0.3747
Epoch 8, Training Loss: 1.7699778079986572, Validation Loss: 1.8888, Validation Accuracy: 0.3475
Epoch 9, Training Loss: 2.2666475772857666, Validation Loss: 2.2230, Validation Accuracy: 0.2570
Epoch 10, Training Loss: 2.1020829677581787, Validation Loss: 2.0361, Validation Accuracy: 0.3239
Epoch 11, Training Loss: 1.968633770942688, Validation Loss: 1.9320, Validation Accuracy: 0.3670
Epoch 12, Training Loss: 1.7817773818969727, Validation Loss: 1.8380, Validation Accuracy: 0.3872
Epoch 13, Training Loss: 1.8925254344940186, Validation Loss: 1.9775, Validation Accuracy: 0.3402
Epoch 14, Training Loss: 1.848257303237915, Validation Loss: 1.8037, Validation Accuracy: 0.3936
Epoch 15, Training Loss: 1.6108357906341553, Validation Loss: 1.8253, Validation Accuracy: 0.3864
Epoch 16, Training Loss: 2.2087621688842773, Validation Loss: 4.3465, Validation Accuracy: 0.3294
Epoch 17, Training Loss: 1.6980619430541992, Validation Loss: 1.7176, Validation Accuracy: 0.4406
Epoch 18, Training Loss: 1.698155403137207, Validation Loss: 1.7554, Validation Accuracy: 0.4209
Epoch 19, Training Loss: 1.700064778327942, Validation Loss: 1.8094, Validation Accuracy: 0.3832
Epoch 20, Training Loss: 1.6995329856872559, Validation Loss: 1.6661, Validation Accuracy: 0.4451
Epoch 21, Training Loss: 1.5973215103149414, Validation Loss: 29.6681, Validation Accuracy: 0.4228
Epoch 22, Training Loss: 1.6068511009216309, Validation Loss: 1.6232, Validation Accuracy: 0.4564
Epoch 23, Training Loss: 1.4472764730453491, Validation Loss: 1.5799, Validation Accuracy: 0.4781
Epoch 24, Training Loss: 1.4030959606170654, Validation Loss: 5.0093, Validation Accuracy: 0.4675
Epoch 25, Training Loss: 1.5548582077026367, Validation Loss: 1.7262, Validation Accuracy: 0.4337
Epoch 26, Training Loss: 1.5617159605026245, Validation Loss: 1.6861, Validation Accuracy: 0.4282
Epoch 27, Training Loss: 1.3863487243652344, Validation Loss: 1.6730, Validation Accuracy: 0.4288
Epoch 28, Training Loss: 1.4652477502822876, Validation Loss: 1.5987, Validation Accuracy: 0.4541
Epoch 29, Training Loss: 1.4023327827453613, Validation Loss: 1.5729, Validation Accuracy: 0.4785
Epoch 30, Training Loss: 1.594447135925293, Validation Loss: 1.5340, Validation Accuracy: 0.4868
Epoch 31, Training Loss: 1.249345302581787, Validation Loss: 1.4887, Validation Accuracy: 0.5168
Epoch 32, Training Loss: 1.4303569793701172, Validation Loss: 1.4334, Validation Accuracy: 0.5339
Epoch 33, Training Loss: 1.272775650024414, Validation Loss: 810.2924, Validation Accuracy: 0.5199
Epoch 34, Training Loss: 1.3395297527313232, Validation Loss: 1.3776, Validation Accuracy: 0.5641
Epoch 35, Training Loss: 1.18832266330719, Validation Loss: 125.1729, Validation Accuracy: 0.5358
Epoch 36, Training Loss: 1.0205504894256592, Validation Loss: 1.3716, Validation Accuracy: 0.5493
Epoch 37, Training Loss: 1.150862455368042, Validation Loss: 1.3282, Validation Accuracy: 0.5784
Epoch 38, Training Loss: 1.2934898138046265, Validation Loss: 1.4347, Validation Accuracy: 0.5352
Epoch 39, Training Loss: 1.2152475118637085, Validation Loss: 1.4718, Validation Accuracy: 0.5387
Epoch 40, Training Loss: 1.1123274564743042, Validation Loss: 11.8424, Validation Accuracy: 0.5649
Epoch 41, Training Loss: 1.174244999885559, Validation Loss: 1.3270, Validation Accuracy: 0.5702
Epoch 42, Training Loss: 1.1700292825698853, Validation Loss: 2.3317, Validation Accuracy: 0.5845
Epoch 43, Training Loss: 1.1624040603637695, Validation Loss: 1.4791, Validation Accuracy: 0.5845
Epoch 44, Training Loss: 1.0187101364135742, Validation Loss: 2.4544, Validation Accuracy: 0.6068
Epoch 45, Training Loss: 1.0063940286636353, Validation Loss: 4078.9187, Validation Accuracy: 0.5988
Epoch 46, Training Loss: 1.133500099182129, Validation Loss: 1.4576, Validation Accuracy: 0.6134
Epoch 47, Training Loss: 1.1773626804351807, Validation Loss: 1.3510, Validation Accuracy: 0.5608
Epoch 48, Training Loss: 1.0793418884277344, Validation Loss: 1.2176, Validation Accuracy: 0.6098
Epoch 49, Training Loss: 0.901099443435669, Validation Loss: 2.0962, Validation Accuracy: 0.5986
Epoch 50, Training Loss: 1.0815168619155884, Validation Loss: 3.6819, Validation Accuracy: 0.5736
Epoch 51, Training Loss: 1.0488778352737427, Validation Loss: 38.1933, Validation Accuracy: 0.6279
Epoch 52, Training Loss: 1.0718398094177246, Validation Loss: 14.6019, Validation Accuracy: 0.6302
Epoch 53, Training Loss: 0.8026507496833801, Validation Loss: 1.1073, Validation Accuracy: 0.6482
Epoch 54, Training Loss: 0.9151301980018616, Validation Loss: 1.0881, Validation Accuracy: 0.6504
Epoch 55, Training Loss: 1.073785424232483, Validation Loss: 4583.8335, Validation Accuracy: 0.6070
Epoch 56, Training Loss: 1.0700198411941528, Validation Loss: 44.9850, Validation Accuracy: 0.6569
Epoch 57, Training Loss: 0.9839659333229065, Validation Loss: 1.0781, Validation Accuracy: 0.6555
Epoch 58, Training Loss: 0.7858923077583313, Validation Loss: 1.0966, Validation Accuracy: 0.6522
Epoch 59, Training Loss: 1.0000172853469849, Validation Loss: 1.0692, Validation Accuracy: 0.6591
Epoch 60, Training Loss: 1.0541459321975708, Validation Loss: 1.0415, Validation Accuracy: 0.6768
Epoch 61, Training Loss: 0.7350959181785583, Validation Loss: 1.0217, Validation Accuracy: 0.6738
Epoch 62, Training Loss: 0.8342220783233643, Validation Loss: 4.9581, Validation Accuracy: 0.6862
Epoch 63, Training Loss: 1.4452261924743652, Validation Loss: 20644.4996, Validation Accuracy: 0.5032
Epoch 64, Training Loss: 0.8905250430107117, Validation Loss: 1.1754, Validation Accuracy: 0.6290
Epoch 65, Training Loss: 0.9737794399261475, Validation Loss: 1.1357, Validation Accuracy: 0.6538
Epoch 66, Training Loss: 1.0163906812667847, Validation Loss: 2254.4392, Validation Accuracy: 0.0614
Epoch 67, Training Loss: 1.020366907119751, Validation Loss: 1.0774, Validation Accuracy: 0.6611
Epoch 68, Training Loss: 0.8521520495414734, Validation Loss: 2.4688, Validation Accuracy: 0.6847
Epoch 69, Training Loss: 0.8183452486991882, Validation Loss: 0.9969, Validation Accuracy: 0.6903
Epoch 70, Training Loss: 0.6562763452529907, Validation Loss: 0.9497, Validation Accuracy: 0.6963
Epoch 71, Training Loss: 0.6228946447372437, Validation Loss: 10.9107, Validation Accuracy: 0.6955
Epoch 72, Training Loss: 0.825340747833252, Validation Loss: 0.9642, Validation Accuracy: 0.6999
Epoch 73, Training Loss: 0.5065978169441223, Validation Loss: 0.9745, Validation Accuracy: 0.6930
Epoch 74, Training Loss: 0.7531189918518066, Validation Loss: 0.9452, Validation Accuracy: 0.7034
Epoch 75, Training Loss: 0.6344667673110962, Validation Loss: 1.0173, Validation Accuracy: 0.6751
Epoch 76, Training Loss: 0.645932674407959, Validation Loss: 10013630.8007, Validation Accuracy: 0.6699
Epoch 77, Training Loss: 0.6767677068710327, Validation Loss: 9221.1040, Validation Accuracy: 0.7161
Epoch 78, Training Loss: 0.6941244602203369, Validation Loss: 50.9574, Validation Accuracy: 0.6665
Epoch 79, Training Loss: 0.639961302280426, Validation Loss: 0.9590, Validation Accuracy: 0.6968
Epoch 80, Training Loss: 0.7101273536682129, Validation Loss: 1.1807, Validation Accuracy: 0.6230
Epoch 81, Training Loss: 0.5860310196876526, Validation Loss: 1.0886, Validation Accuracy: 0.6529
Epoch 82, Training Loss: 0.3983110189437866, Validation Loss: 0.9427, Validation Accuracy: 0.7131
Epoch 83, Training Loss: 0.5637970566749573, Validation Loss: 0.8945, Validation Accuracy: 0.7251
Epoch 84, Training Loss: 0.7450189590454102, Validation Loss: 1.1271, Validation Accuracy: 0.6788
