Epoch 1, Training Loss: 1.909376621246338, Validation Loss: 2.0074, Validation Accuracy: 0.2721
Epoch 2, Training Loss: 1.7360378503799438, Validation Loss: 1.8043, Validation Accuracy: 0.3485
Epoch 3, Training Loss: 1.7632298469543457, Validation Loss: 1.8174, Validation Accuracy: 0.3625
Epoch 4, Training Loss: 1.6044917106628418, Validation Loss: 1.6808, Validation Accuracy: 0.4320
Epoch 5, Training Loss: 1.8679968118667603, Validation Loss: 1.8650, Validation Accuracy: 0.3332
Epoch 6, Training Loss: 1.575543761253357, Validation Loss: 1.6377, Validation Accuracy: 0.4220
Epoch 7, Training Loss: 1.5620355606079102, Validation Loss: 1.5850, Validation Accuracy: 0.4523
Epoch 8, Training Loss: 1.4360507726669312, Validation Loss: 1.5611, Validation Accuracy: 0.4540
Epoch 9, Training Loss: 1.280594825744629, Validation Loss: 1.4724, Validation Accuracy: 0.4835
Epoch 10, Training Loss: 1.4016870260238647, Validation Loss: 1.4274, Validation Accuracy: 0.5117
Epoch 11, Training Loss: 1.2139976024627686, Validation Loss: 1.4296, Validation Accuracy: 0.5034
Epoch 12, Training Loss: 1.218528389930725, Validation Loss: 1.4173, Validation Accuracy: 0.5150
Epoch 13, Training Loss: 1.3264747858047485, Validation Loss: 1.4873, Validation Accuracy: 0.4772
Epoch 14, Training Loss: 1.2154008150100708, Validation Loss: 1.4582, Validation Accuracy: 0.5160
Epoch 15, Training Loss: 3.429816961288452, Validation Loss: 2.1744, Validation Accuracy: 0.2266
Epoch 16, Training Loss: 1.9175561666488647, Validation Loss: 1.8712, Validation Accuracy: 0.3703
Epoch 17, Training Loss: 1.5611368417739868, Validation Loss: 1.7565, Validation Accuracy: 0.4026
Epoch 18, Training Loss: 1.620590329170227, Validation Loss: 1.7184, Validation Accuracy: 0.4458
Epoch 19, Training Loss: 1.5021365880966187, Validation Loss: 1.6342, Validation Accuracy: 0.4409
Epoch 20, Training Loss: 1.4491002559661865, Validation Loss: 1.6075, Validation Accuracy: 0.4598
Epoch 21, Training Loss: 1.5018638372421265, Validation Loss: 1.7009, Validation Accuracy: 0.4370
Epoch 22, Training Loss: 1.4154741764068604, Validation Loss: 1.5726, Validation Accuracy: 0.4735
Epoch 23, Training Loss: 1.3686039447784424, Validation Loss: 1.5793, Validation Accuracy: 0.4483
Epoch 24, Training Loss: 1.3377711772918701, Validation Loss: 1.5456, Validation Accuracy: 0.4836
Epoch 25, Training Loss: 1.445021629333496, Validation Loss: 1.5420, Validation Accuracy: 0.4613
Epoch 26, Training Loss: 1.4184678792953491, Validation Loss: 1.5054, Validation Accuracy: 0.5049
Epoch 27, Training Loss: 1.2780708074569702, Validation Loss: 1.4950, Validation Accuracy: 0.4770
Epoch 28, Training Loss: 1.290616750717163, Validation Loss: 1.4662, Validation Accuracy: 0.5069
Epoch 29, Training Loss: 1.3223825693130493, Validation Loss: 1.4433, Validation Accuracy: 0.5038
Epoch 30, Training Loss: 1.2688958644866943, Validation Loss: 1.3936, Validation Accuracy: 0.5308
Epoch 31, Training Loss: 1.2061681747436523, Validation Loss: 1.3907, Validation Accuracy: 0.4991
Epoch 32, Training Loss: 1.3406299352645874, Validation Loss: 1.4243, Validation Accuracy: 0.4994
Epoch 33, Training Loss: 1.2711559534072876, Validation Loss: 1.3547, Validation Accuracy: 0.5284
Epoch 34, Training Loss: 1.307748556137085, Validation Loss: 1.3941, Validation Accuracy: 0.5150
Epoch 35, Training Loss: 1.1889896392822266, Validation Loss: 1.3487, Validation Accuracy: 0.5353
Epoch 36, Training Loss: 1.18730628490448, Validation Loss: 1.3295, Validation Accuracy: 0.5532
Epoch 37, Training Loss: 1.093066930770874, Validation Loss: 1.3277, Validation Accuracy: 0.5364
Epoch 38, Training Loss: 1.1899499893188477, Validation Loss: 1.3212, Validation Accuracy: 0.5418
Epoch 39, Training Loss: 1.2738288640975952, Validation Loss: 1.2441, Validation Accuracy: 0.5743
Epoch 40, Training Loss: 1.1352695226669312, Validation Loss: 1.2774, Validation Accuracy: 0.5484
Epoch 41, Training Loss: 1.1217793226242065, Validation Loss: 1.3248, Validation Accuracy: 0.5276
Epoch 42, Training Loss: 1.1153324842453003, Validation Loss: 1.2442, Validation Accuracy: 0.5599
Epoch 43, Training Loss: 1.367669939994812, Validation Loss: 1.3382, Validation Accuracy: 0.5138
Epoch 44, Training Loss: 1.2033969163894653, Validation Loss: 1.5088, Validation Accuracy: 0.4899
Epoch 45, Training Loss: 1.1403183937072754, Validation Loss: 1.2796, Validation Accuracy: 0.5604
Epoch 46, Training Loss: 2.206641435623169, Validation Loss: 2.2389, Validation Accuracy: 0.1578
Epoch 47, Training Loss: 1.7337989807128906, Validation Loss: 1.8567, Validation Accuracy: 0.3476
Epoch 48, Training Loss: 1.6102551221847534, Validation Loss: 1.6998, Validation Accuracy: 0.3979
Epoch 49, Training Loss: 1.6554914712905884, Validation Loss: 1.6950, Validation Accuracy: 0.4206
Epoch 50, Training Loss: 1.4739375114440918, Validation Loss: 1.5743, Validation Accuracy: 0.4618
Epoch 51, Training Loss: 1.4136438369750977, Validation Loss: 1.5369, Validation Accuracy: 0.4556
Epoch 52, Training Loss: 1.3224836587905884, Validation Loss: 1.4814, Validation Accuracy: 0.5040
