Epoch 1, Training Loss: 0.555695652961731, Training Accuracy: 0.5707, Validation Loss: 1.1951, Validation Accuracy: 0.5628
Epoch 2, Training Loss: 0.08508588373661041, Training Accuracy: 0.7277, Validation Loss: 0.8730, Validation Accuracy: 0.6963
Epoch 3, Training Loss: 0.005379864946007729, Training Accuracy: 0.8221, Validation Loss: 0.7388, Validation Accuracy: 0.7536
Epoch 4, Training Loss: 0.000835433485917747, Training Accuracy: 0.8848, Validation Loss: 0.6109, Validation Accuracy: 0.8049
Epoch 5, Training Loss: 0.021229460835456848, Training Accuracy: 0.8909, Validation Loss: 0.7244, Validation Accuracy: 0.8041
Epoch 6, Training Loss: 0.0004907422699034214, Training Accuracy: 0.9326, Validation Loss: 0.5705, Validation Accuracy: 0.8426
Epoch 7, Training Loss: 6.079655122448457e-06, Training Accuracy: 0.9605, Validation Loss: 0.4716, Validation Accuracy: 0.8708
Epoch 8, Training Loss: 3.892075619660318e-05, Training Accuracy: 0.9522, Validation Loss: 0.5361, Validation Accuracy: 0.8589
Epoch 9, Training Loss: 0.0002556061663199216, Training Accuracy: 0.9675, Validation Loss: 0.4810, Validation Accuracy: 0.8741
Epoch 10, Training Loss: 0.0037924873176962137, Training Accuracy: 0.9840, Validation Loss: 0.4051, Validation Accuracy: 0.8961
Epoch 11, Training Loss: 1.6152704120031558e-05, Training Accuracy: 0.9829, Validation Loss: 0.4319, Validation Accuracy: 0.8917
Epoch 12, Training Loss: 0.00016078953922260553, Training Accuracy: 0.9813, Validation Loss: 0.4282, Validation Accuracy: 0.8912
Epoch 13, Training Loss: 0.0013110124273225665, Training Accuracy: 0.9792, Validation Loss: 0.4751, Validation Accuracy: 0.8890
Epoch 14, Training Loss: 0.0067819529213011265, Training Accuracy: 0.9862, Validation Loss: 0.4122, Validation Accuracy: 0.8999
Epoch 15, Training Loss: 0.00022251925838645548, Training Accuracy: 0.9893, Validation Loss: 0.3789, Validation Accuracy: 0.9061
Epoch 16, Training Loss: 1.4901033864589408e-05, Training Accuracy: 0.9843, Validation Loss: 0.4762, Validation Accuracy: 0.8938
Epoch 17, Training Loss: 0.002527634147554636, Training Accuracy: 0.9879, Validation Loss: 0.4027, Validation Accuracy: 0.9050
Epoch 18, Training Loss: 0.03440175950527191, Training Accuracy: 0.9888, Validation Loss: 0.4097, Validation Accuracy: 0.9042
Epoch 19, Training Loss: 6.436895637307316e-05, Training Accuracy: 0.9841, Validation Loss: 0.4633, Validation Accuracy: 0.8978
Epoch 20, Training Loss: 3.445029869908467e-05, Training Accuracy: 0.9910, Validation Loss: 0.4158, Validation Accuracy: 0.9114
Epoch 21, Training Loss: 0.0016747073968872428, Training Accuracy: 0.9861, Validation Loss: 0.4595, Validation Accuracy: 0.9012
Epoch 22, Training Loss: 0.002847181400284171, Training Accuracy: 0.9904, Validation Loss: 0.3858, Validation Accuracy: 0.9050
Epoch 23, Training Loss: 3.8860718632349744e-05, Training Accuracy: 0.9960, Validation Loss: 0.3975, Validation Accuracy: 0.9178
Epoch 24, Training Loss: 0.00023961285478435457, Training Accuracy: 0.9916, Validation Loss: 0.3869, Validation Accuracy: 0.9130
Epoch 25, Training Loss: 9.76825540419668e-05, Training Accuracy: 0.9902, Validation Loss: 0.4496, Validation Accuracy: 0.9081
Epoch 26, Training Loss: 5.584643440670334e-05, Training Accuracy: 0.9919, Validation Loss: 0.4216, Validation Accuracy: 0.9112
Epoch 27, Training Loss: 0.0001272397639695555, Training Accuracy: 0.9934, Validation Loss: 0.3687, Validation Accuracy: 0.9137
Epoch 28, Training Loss: 8.940616680774838e-06, Training Accuracy: 0.9947, Validation Loss: 0.3823, Validation Accuracy: 0.9181
Epoch 29, Training Loss: 5.370090002543293e-05, Training Accuracy: 0.9952, Validation Loss: 0.4096, Validation Accuracy: 0.9178
Epoch 30, Training Loss: 0.01201513223350048, Training Accuracy: 0.9956, Validation Loss: 0.4126, Validation Accuracy: 0.9165
Epoch 31, Training Loss: 3.5762775496550603e-07, Training Accuracy: 0.9953, Validation Loss: 0.3861, Validation Accuracy: 0.9193
Epoch 32, Training Loss: 0.0036863950081169605, Training Accuracy: 0.9883, Validation Loss: 0.4449, Validation Accuracy: 0.9043
Epoch 33, Training Loss: 0.00024408103490713984, Training Accuracy: 0.9950, Validation Loss: 0.4023, Validation Accuracy: 0.9193
Epoch 34, Training Loss: 0.0007773552206344903, Training Accuracy: 0.9924, Validation Loss: 0.4432, Validation Accuracy: 0.9135
Epoch 35, Training Loss: 0.0004878047911915928, Training Accuracy: 0.9960, Validation Loss: 0.3941, Validation Accuracy: 0.9200
Epoch 36, Training Loss: 7.885072409408167e-05, Training Accuracy: 0.9973, Validation Loss: 0.3952, Validation Accuracy: 0.9224
Epoch 37, Training Loss: 0.0003875184047501534, Training Accuracy: 0.9924, Validation Loss: 0.4428, Validation Accuracy: 0.9107
Epoch 38, Training Loss: 0.0003791801573242992, Training Accuracy: 0.9954, Validation Loss: 0.4457, Validation Accuracy: 0.9161
Epoch 39, Training Loss: 2.235124156868551e-05, Training Accuracy: 0.9965, Validation Loss: 0.4583, Validation Accuracy: 0.9209
Epoch 40, Training Loss: 0.00011317640746710822, Training Accuracy: 0.9960, Validation Loss: 0.4090, Validation Accuracy: 0.9219
Epoch 41, Training Loss: 5.274732757243328e-05, Training Accuracy: 0.9948, Validation Loss: 0.3987, Validation Accuracy: 0.9166
Epoch 42, Training Loss: 0.0001803907216526568, Training Accuracy: 0.9969, Validation Loss: 0.4131, Validation Accuracy: 0.9236
Epoch 43, Training Loss: 0.0003929977538064122, Training Accuracy: 0.9977, Validation Loss: 0.4026, Validation Accuracy: 0.9255
Epoch 44, Training Loss: 1.031149713526247e-05, Training Accuracy: 0.9949, Validation Loss: 0.4443, Validation Accuracy: 0.9201
Epoch 45, Training Loss: 9.142516501015052e-05, Training Accuracy: 0.9959, Validation Loss: 0.4232, Validation Accuracy: 0.9213
Epoch 46, Training Loss: 1.7285317426285474e-06, Training Accuracy: 0.9976, Validation Loss: 0.3891, Validation Accuracy: 0.9250
Epoch 47, Training Loss: 0.001718306913971901, Training Accuracy: 0.9943, Validation Loss: 0.4600, Validation Accuracy: 0.9143
Epoch 48, Training Loss: 1.311300479756028e-06, Training Accuracy: 0.9969, Validation Loss: 0.4633, Validation Accuracy: 0.9256
Epoch 49, Training Loss: 0.007283487822860479, Training Accuracy: 0.9969, Validation Loss: 0.3769, Validation Accuracy: 0.9213
Epoch 50, Training Loss: 1.6689022231730632e-05, Training Accuracy: 0.9951, Validation Loss: 0.4299, Validation Accuracy: 0.9169
Epoch 51, Training Loss: 7.510128853027709e-06, Training Accuracy: 0.9903, Validation Loss: 0.5122, Validation Accuracy: 0.9061
Epoch 52, Training Loss: 0.0001268226042157039, Training Accuracy: 0.9963, Validation Loss: 0.3914, Validation Accuracy: 0.9217
Epoch 53, Training Loss: 0.00016698433319106698, Training Accuracy: 0.9966, Validation Loss: 0.4257, Validation Accuracy: 0.9233
Epoch 54, Training Loss: 0.0001473209704272449, Training Accuracy: 0.9924, Validation Loss: 0.5021, Validation Accuracy: 0.9107
Epoch 55, Training Loss: 7.152552257139178e-07, Training Accuracy: 0.9801, Validation Loss: 0.5780, Validation Accuracy: 0.8911
Epoch 56, Training Loss: 5.423993115982739e-06, Training Accuracy: 0.9981, Validation Loss: 0.4278, Validation Accuracy: 0.9282
Epoch 57, Training Loss: 1.311300479756028e-06, Training Accuracy: 0.9954, Validation Loss: 0.4619, Validation Accuracy: 0.9183
Epoch 58, Training Loss: 4.7683693082944956e-07, Training Accuracy: 0.9982, Validation Loss: 0.4187, Validation Accuracy: 0.9292
Epoch 59, Training Loss: 0.0007274221279658377, Training Accuracy: 0.9973, Validation Loss: 0.4349, Validation Accuracy: 0.9189
Epoch 60, Training Loss: 6.735279384884052e-06, Training Accuracy: 0.9980, Validation Loss: 0.4137, Validation Accuracy: 0.9270
Epoch 61, Training Loss: -0.0, Training Accuracy: 0.9941, Validation Loss: 0.4779, Validation Accuracy: 0.9178
Epoch 62, Training Loss: 1.1920927533992653e-07, Training Accuracy: 0.9946, Validation Loss: 0.4989, Validation Accuracy: 0.9217
Epoch 63, Training Loss: 6.55650637781946e-07, Training Accuracy: 0.9978, Validation Loss: 0.4899, Validation Accuracy: 0.9252
Epoch 64, Training Loss: 6.437260253733257e-06, Training Accuracy: 0.9966, Validation Loss: 0.4597, Validation Accuracy: 0.9247
Epoch 65, Training Loss: 7.688940058869775e-06, Training Accuracy: 0.9982, Validation Loss: 0.4259, Validation Accuracy: 0.9303
